DATE;CMIG4;SUZB3
10/09/2021 14:00;13.46;60.66
10/09/2021 10:00;13.54;61.14
09/09/2021 17:30;13.41;62.31
09/09/2021 14:00;13.37;62.25
09/09/2021 10:00;13.33;63.05
08/09/2021 17:30;13.24;62.36
08/09/2021 14:00;13.25;62.59
08/09/2021 10:00;13.35;62.35
06/09/2021 17:30;13.43;61.16
06/09/2021 14:00;13.49;61.48
06/09/2021 10:00;13.49;61.3
03/09/2021 17:30;13.47;61.85
03/09/2021 14:00;13.61;61.71
03/09/2021 10:00;13.67;61.05
02/09/2021 17:30;13.64;60.79
02/09/2021 14:00;13.69;60.74
02/09/2021 10:00;13.82;60.84
01/09/2021 17:30;13.88;61.00
01/09/2021 14:00;13.97;61.2
01/09/2021 10:00;13.84;61.45
31/08/2021 17:30;13.47;60.85
31/08/2021 14:00;13.51;61.00
31/08/2021 10:00;13.26;61.04
30/08/2021 17:30;13.17;61.77
30/08/2021 14:00;13.18;61.52
30/08/2021 10:00;13.17;61.74
27/08/2021 17:30;13.21;61.86
27/08/2021 14:00;13.24;61.9
27/08/2021 10:00;13.25;61.62
26/08/2021 17:30;12.97;61.57
26/08/2021 14:00;13.03;61.69
26/08/2021 10:00;13.24;62.53
25/08/2021 17:30;13.12;62.26
25/08/2021 14:00;13.14;62.26
25/08/2021 10:00;13.02;61.12
24/08/2021 17:30;13.04;59.09
24/08/2021 14:00;13.04;59.05
24/08/2021 10:00;12.9;58.87
23/08/2021 17:30;12.42;57.44
23/08/2021 14:00;12.5;57.48
23/08/2021 10:00;12.47;57.91
20/08/2021 17:30;12.47;56.5
20/08/2021 14:00;12.49;56.85
20/08/2021 10:00;12.43;56.86
19/08/2021 17:30;12.19;55.84
19/08/2021 14:00;12.18;55.68
19/08/2021 10:00;12.04;55.15
18/08/2021 17:30;11.93;56.01
18/08/2021 14:00;11.93;56.13
18/08/2021 10:00;11.94;57.54
17/08/2021 17:30;11.7;57.01
17/08/2021 14:00;11.7;57.3
17/08/2021 10:00;11.7;57.15
16/08/2021 17:30;11.39;57.65
16/08/2021 14:00;11.38;57.71
16/08/2021 10:00;11.43;57.62
13/08/2021 17:30;11.56;56.8
13/08/2021 14:00;11.57;56.81
13/08/2021 10:00;11.47;56.68
12/08/2021 17:30;11.43;55.5
12/08/2021 14:00;11.47;55.71
12/08/2021 10:00;11.53;55.6
11/08/2021 17:30;11.57;56.73
11/08/2021 14:00;11.61;56.5
11/08/2021 10:00;11.69;56.69
10/08/2021 17:30;11.58;56.85
